UFID,GRND_FLR,HEIGHT,CONT,ABSOLUTE_HEIGHT,latitude,longitude
2007410347902810180800000000,25.0,34.0,6.313919428381297,40.3139194283813,36.006878132723415,129.3337447915021
2015229237142784805200000000,4.0,6.5,8.621384864935951,15.121384864935951,36.006267099655986,129.32491640194462
1995409915732811662700000000,16.0,21.5,6.318957892367051,27.818957892367052,36.00830567191539,129.32899445865846
1995409872652812727100000000,16.0,21.5,5.51109233494677,27.01109233494677,36.00927338835151,129.32854517410115
2008410917672810668900000000,1.0,1.5,5.648340630932395,7.148340630932395,36.00719468636666,129.34007237139488
2008410961032810944300000000,17.0,23.5,5.097848180379098,28.5978481803791,36.00743330577885,129.34056020089125
0000410430662811098500000000,0.0,4.0,5.0,9.0,36.00768667257487,129.33468641569095
0000410587292811901300000000,0.0,4.0,4.891893253902166,8.891893253902165,36.008375773866334,129.33644364565902
0000411041862811334500000000,0.0,4.0,4.531042999676181,8.531042999676181,36.00776710201215,129.34146647041766
0000410602842812391800000000,0.0,4.0,4.772890568231949,8.772890568231949,36.008814120668674,129.33662893879367
0000409600982808726900000000,0.0,4.0,5.329399460300917,9.329399460300916,36.00572964432783,129.32542850751216
1981410329912810931500000000,0.0,4.0,5.929192938724625,9.929192938724626,36.00755796020744,129.33356533394524
0000410608822812410100000000,0.0,4.0,4.758268056164345,8.758268056164345,36.00882929266965,129.3366957763359
0000410752912813264100000000,0.0,4.0,4.821322631328334,8.821322631328334,36.00956715761825,129.33831536350795
0000410626552811807100000000,0.0,4.0,4.8103098956076416,8.810309895607642,36.008282417941885,129.33687620982312
0000410669902811114300000000,0.0,4.0,5.549056635888209,9.54905663588821,36.007649231480784,129.3373382997374
1990410760322812791600000000,3.0,4.5,4.771123718430409,9.27112371843041,36.009140109007404,129.33838495391913
